order_id,customer_id,order_date,branch,order_total
O000001,C00001,2024-07-31,Binley (Coventry),1873.59
O000002,C00002,2025-05-25,Birmingham South,308.04
O000003,C00002,2025-07-20,Birmingham South,7108.56
O000004,C00002,2026-01-18,Birmingham South,2802.4
O000005,C00002,2026-06-22,Birmingham South,7505.04
O000006,C00002,2024-10-07,Birmingham South,5939.52
O000007,C00002,2025-12-17,Birmingham South,4957.26
O000008,C00002,2025-10-01,Birmingham South,3550.84
O000009,C00002,2025-07-09,Birmingham South,3690.34
O000010,C00002,2025-08-19,Birmingham South,6693.0
O000011,C00002,2024-04-19,Birmingham South,454.85
O000012,C00002,2024-02-24,Birmingham South,1234.26
O000013,C00002,2026-02-07,Birmingham South,1111.12
O000014,C00002,2026-05-09,Birmingham South,1036.3
O000015,C00002,2024-07-27,Birmingham South,13488.35
O000016,C00002,2024-08-31,Birmingham South,10707.85
O000017,C00002,2024-02-25,Birmingham South,1310.13
O000018,C00002,2024-07-26,Birmingham South,12002.26
O000019,C00002,2026-03-05,Birmingham South,879.63
O000020,C00002,2024-07-10,Birmingham South,2584.54
O000021,C00002,2024-02-11,Birmingham South,4162.61
O000022,C00002,2025-04-22,Birmingham South,4245.32
O000023,C00002,2024-02-22,Birmingham South,8002.57
O000024,C00002,2025-06-22,Birmingham South,1013.65
O000025,C00002,2026-03-16,Birmingham South,5300.22
O000026,C00002,2025-01-04,Birmingham South,5097.25
O000027,C00002,2025-07-28,Birmingham South,589.8
O000028,C00002,2025-04-01,Birmingham South,8721.6
O000029,C00002,2024-09-06,Birmingham South,1944.91
O000030,C00002,2025-01-25,Birmingham South,818.73
O000031,C00003,2025-06-10,Birmingham South,8889.62
O000032,C00003,2024-06-20,Birmingham South,6835.05
O000033,C00003,2026-04-28,Birmingham South,3152.69
O000034,C00003,2024-02-08,Birmingham South,244.02
O000035,C00003,2024-07-01,Birmingham South,5340.67
O000036,C00004,2025-02-02,Northampton,112.72
O000037,C00004,2025-10-18,Northampton,7376.0
O000038,C00004,2026-03-16,Northampton,4999.77
O000039,C00004,2026-04-21,Northampton,1142.64
O000040,C00004,2025-06-30,Northampton,3657.14
O000041,C00004,2024-10-29,Northampton,479.57
O000042,C00004,2025-07-20,Northampton,9733.7
O000043,C00004,2024-11-08,Northampton,3364.19
O000044,C00004,2025-02-26,Northampton,4843.94
O000045,C00004,2026-05-22,Northampton,4145.76
O000046,C00004,2025-04-17,Northampton,6058.89
O000047,C00004,2024-05-11,Northampton,1058.69
O000048,C00005,2024-06-05,Northampton,5817.28
O000049,C00006,2025-11-26,Northampton,8178.53
O000050,C00006,2025-05-13,Northampton,7039.75
O000051,C00006,2026-01-21,Northampton,436.71
O000052,C00008,2024-03-17,Leicester,4724.18
O000053,C00009,2025-11-09,Binley (Coventry),4886.06
O000054,C00009,2026-02-14,Binley (Coventry),6866.13
O000055,C00009,2024-08-12,Binley (Coventry),5354.14
O000056,C00009,2026-03-21,Binley (Coventry),1942.65
O000057,C00009,2025-10-26,Binley (Coventry),2187.71
O000058,C00009,2025-08-15,Binley (Coventry),10292.92
O000059,C00009,2024-08-16,Binley (Coventry),9710.84
